uid,count,id,ukftype
024,469790,007,mat
024,566246,007,mat
024,628264,007,mat
024,579474,007,mat
024,430438,007,mat
024,628348,007,mat
024,576716,007,mat
024,552760,007,mat
024,584180,007,mat
024,615014,007,mat
024,542636,007,mat
024,472258,007,mat
024,609504,007,mat
024,495214,007,mat
024,549202,007,mat
024,621780,007,mat
024,647938,007,mat
019,1622248,008,mat
019,992598,008,mat
019,1713440,008,mat
019,2235236,008,mat
019,1287096,008,mat
019,1651098,008,mat
019,1345022,008,mat
019,1677968,008,mat
019,1608270,008,mat
019,1268556,008,mat
019,1527212,008,mat
019,1610182,008,mat
019,1562848,008,mat
019,1384706,008,mat
019,1550948,008,mat
019,1512838,008,mat
019,1585222,008,mat
019,1749870,008,mat
019,1485926,008,mat
015,892866,015,mat
015,929050,015,mat
015,784576,015,mat
015,942490,015,mat
015,1440614,015,mat
015,2068038,015,mat
015,1119492,015,mat
015,2002370,015,mat
015,1654222,015,mat
015,1770908,015,mat
015,1607096,015,mat
015,1498170,015,mat
015,2057916,015,mat
015,942712,015,mat
015,1746088,015,mat
015,1775848,015,mat
015,1737968,015,mat
015,1733942,015,mat
015,1922048,015,mat
015,1565704,015,mat
015,869612,015,mat
015,882780,015,mat
015,823092,015,mat
015,784936,015,mat
015,849374,015,mat
015,873412,015,mat
015,731484,015,mat
015,925114,015,mat
015,944330,015,mat
015,1179606,015,mat
015,1611336,015,mat
015,1485650,015,mat
015,1947382,015,mat
015,1579568,015,mat
015,1509226,015,mat
015,1710310,015,mat
015,1655506,015,mat
015,1319614,015,mat
015,1466254,015,mat
015,1539964,015,mat
015,1589466,015,mat
015,1426832,015,mat
015,1435848,015,mat
015,1893882,015,mat
015,1704756,015,mat
016,1269250,016,mat
016,1720862,016,mat
016,1483676,016,mat
016,1823466,016,mat
016,1950556,016,mat
016,1475322,016,mat
016,1794600,016,mat
016,1410894,016,mat
016,1593698,016,mat
016,1819592,016,mat
016,1645538,016,mat
016,1610718,016,mat
016,1722662,016,mat
016,1801374,016,mat
016,1575200,016,mat
016,1649480,016,mat
016,1990548,016,mat
016,1484848,016,mat
016,1587290,016,mat
016,1723242,016,mat
016,1738976,016,mat
016,1328394,016,mat
016,1774210,016,mat
016,1612258,016,mat
006,652920,017,mat
006,556738,017,mat
006,633794,017,mat
006,566840,017,mat
006,484218,017,mat
006,639560,017,mat
